Eigvals	37
1.76919554975	1.47578492475	1.29771235906	1.04783695588	0.739343310188	0.719793503936	0.709187051328	0.616723745946	0.568771608964	0.551250400636	0.51528176188	0.447535552222	0.436353022979	0.403463733253	0.377306420094	0.340813876451	0.299585884346	0.248478123361	0.224667481041	0.167234338887	0.141401591052	0.118795874988	0.0872301131913	0.078144019571	0.0406879784068	0.00911511728933	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0

Proportion explained	37
0.131717973199	0.10987332587	0.0966156860132	0.0780122695259	0.0550446796736	0.05358918152	0.052799522943	0.0459155585435	0.0423454849614	0.0410410174879	0.0383631245911	0.0333193670318	0.0324868191049	0.0300381861184	0.0280907539795	0.0253738559598	0.0223044001499	0.0184993879269	0.0167266672418	0.0124507255122	0.010527457512	0.00884444451601	0.00649434920469	0.00581788252687	0.00302925137363	0.000678627512368	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0

Species	0	0

Site	37	37
Swedish	-0.457218089826	0.111809359919	-0.236498849166	0.168030795256	-0.252352107397	0.210203060535	-0.0118765861005	-0.0248219661051	-0.0429641403099	0.0393140501603	0.102628331037	-0.00720031155318	-0.0468594361219	-0.112951954542	0.0393853941945	0.0399332656964	0.0394957719518	0.0988183455007	-0.116200909968	-0.000908160053071	0.0140735131779	0.0246753805745	0.0623935316099	0.0237375294728	-0.00584324880801	-0.0300819855146	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Icelandic	-0.333308308615	0.0564835670258	-0.280398163733	0.118379821622	0.0989951045125	0.101381715898	0.0782230053464	0.109397443384	0.161582005122	0.0208964096424	-0.0657387965616	-0.0650011113839	0.0837667094885	0.230638784571	-0.0388900514741	-0.108446442451	-0.106012668553	-0.0810283681222	-0.0436132632183	-0.0389168375594	-0.00331828891523	0.0850418802567	0.0423335945902	0.0352801155033	0.021873132229	-0.00730374514587	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Estonian	-0.330200745002	0.0645400589785	0.0889608997269	0.214152433761	-0.161446776689	-0.268382943166	-0.181384321481	0.0961167728281	-0.0478161094335	0.111764361463	0.04163361859	-0.0203279063943	-0.196945167171	-0.0341723199378	0.049183593729	-0.127457460144	0.0584108601275	-0.0881652386176	-0.0576955966162	0.0151840303468	0.0237485441757	-0.0772869479069	-0.00765184752036	0.0132451255644	0.0406024973853	0.0178220527178	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Turkish	0.0221732607862	0.212246850253	-0.202450249449	-0.0860202446578	0.0702212172274	-0.256040981465	-0.184371696825	-0.150560638619	0.0235187708458	0.120582904717	-0.0393221671355	-0.127888263991	0.103287603499	0.00475006704452	-0.0260093050731	0.0358073048337	-0.030238426738	-0.0377283734122	0.0983898740338	0.102014343444	0.173652343287	0.0444165777167	0.0949596652496	-0.0437494015865	0.0323745842379	0.00490630963808	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Twi	0.0128373624102	0.152135253725	0.0784206526728	-0.279144370025	-0.0955409552389	0.0496625230962	0.188869292184	-0.036706739567	0.0379841967139	-0.175447670531	0.189217169782	-0.125289147603	-0.141728287628	-0.0541444421464	-0.215779038458	-0.105942066803	0.0100382477302	-0.050479448475	0.124160335171	0.0258275811574	0.0193007799027	0.040677311756	0.0391357623301	-0.00347322161888	0.00850932468399	0.0015941040118	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sardinian	0.305958970203	-0.0785835699094	-0.211094301246	0.0891914703949	0.0727078800278	0.0540764632795	-0.0237247094576	0.0186419847992	-0.0729034930066	0.0331925140282	-0.159828894162	0.0404994162083	0.00530681841359	-0.0533311071949	0.0876864361776	0.0483012295183	0.0777045127603	-0.0443447003398	0.0327609487529	-0.14221707703	-0.0538970456127	0.0519414273447	0.01064958181	0.0541817060649	0.0750938350437	0.0251713624606	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Romansch Ladina	0.17879351123	-0.0844784692783	-0.233577030668	-0.124931859844	-0.198779306831	0.00133517064186	0.07187561957	-0.0878984960838	-0.164754104818	-0.148136296755	-0.0527097088144	-0.0734997632742	-0.074707380737	-0.0320734033432	0.0722458748081	0.0212868558493	-0.03941953786	0.0328842877507	0.148314726716	-0.0162869908852	0.0883950903905	-0.0943498216281	-0.0644280648132	0.0727513098299	-0.0120727973814	-0.0100737382817	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dutch	-0.044751849516	0.388924006065	-0.25991428971	-0.032812048082	0.0301716341487	0.0439257457341	-0.033053826857	-0.0173370965174	-0.000449749938354	-0.0750245268653	-0.0114118752012	0.151907244811	0.0132937286618	0.0364598686222	-0.101592390401	0.137739227171	0.122692491536	-0.0100072829025	0.0149298644506	0.0833380694606	-0.090054491859	-0.00063440285683	0.0419636215539	0.0100156646557	-0.0967666622945	0.0231584688836	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Danish	-0.182776518914	0.025241401738	0.140215075274	-0.185073230235	-0.00358276576565	0.11873906809	-0.282299238681	-0.254611593866	-0.105598776681	-0.0441550206576	-0.279476308685	0.0190514841806	0.138153078871	-0.229246049304	0.0418206203437	-0.042653222718	0.0301206851976	-0.0321047560794	-0.0799444893277	-0.0347128586911	0.0125571795913	0.00399454569343	-0.0133522947898	-0.0396529108786	-0.0158342933011	-0.00182549841996	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Latin	-0.0567870731796	0.0212080500128	0.114382338868	-0.0112334958169	0.0789690628313	-0.0567043371975	-0.0204541974369	-0.270841516487	0.0974160882217	0.127205963439	0.267718091311	-0.124119305538	0.0858257158732	0.0500302066756	0.17931652582	0.291340482582	-0.0721643219485	-0.0152928953806	-0.00596397607057	-0.0339747296227	-0.0428421770077	0.0277897255774	-0.0568464876563	0.00578565332579	-0.00829377458574	0.000860721471223	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
